N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
100,191889,1,10,22,fcl,0.35499999999999998,3.5499999999999998,kHz,0.44177306720065668,0.10213952564848686
100,191889,1,10,22,fcl,0.35999999999999999,3.6000000000000001,kHz,0.43172000852588066,0.10097580895838651
100,191889,1,10,22,fcl,0.36499999999999999,3.6499999999999999,kHz,0.42177177913525787,0.099745855494146843
100,191889,1,10,22,fcl,0.37,3.7000000000000002,kHz,0.41193962431339581,0.098457717307960019
100,191889,1,10,22,fcl,0.375,3.75,kHz,0.40223505700273604,0.09712066741951593
100,191889,1,10,22,fcl,0.38,3.7999999999999998,kHz,0.39266982804612716,0.095745303117228855
100,191889,1,10,22,fcl,0.38500000000000001,3.8500000000000001,kHz,0.38325589015989914,0.09434364550987949
100,191889,1,10,22,fcl,0.39000000000000001,3.8999999999999999,kHz,0.37400535463164525,0.09292922861567883
100,191889,1,10,22,fcl,0.39500000000000002,3.9500000000000002,kHz,0.36493043962294025,0.091517168803170235
100,191889,1,10,22,fcl,0.40000000000000002,4,kHz,0.35604340888119096,0.090124202539241985
100,191889,1,10,22,fcl,0.40500000000000003,4.0500000000000007,kHz,0.34735649965939513,0.088768677357566425
100,191889,1,10,22,fcl,0.40999999999999998,4.0999999999999996,kHz,0.33888183875237449,0.087470478143318278
100,191889,1,10,22,fcl,0.41499999999999998,4.1500000000000004,kHz,0.33063134583859877,0.086250868912356879
100,191889,1,10,22,fcl,0.41999999999999998,4.2000000000000002,kHz,0.3226166238302372,0.085132230217219149
100,191889,1,10,22,fcl,0.42499999999999999,4.25,kHz,0.31484883673837627,0.084137675347079235
100,191889,1,10,22,fcl,0.42999999999999999,4.2999999999999998,kHz,0.30733857668949538,0.083290535835941648
100,191889,1,10,22,fcl,0.435,4.3499999999999996,kHz,0.3000957231658154,0.082613719289507365
100,191889,1,10,22,fcl,0.44,4.4000000000000004,kHz,0.2931292991857804,0.082128960030863785
100,191889,1,10,22,fcl,0.44500000000000001,4.4500000000000002,kHz,0.28644733078517953,0.081856003785264086
100,191889,1,10,22,fcl,0.45000000000000001,4.5,kHz,0.28005671749408984,0.081811787898201108
100,191889,1,10,22,fcl,0.45500000000000002,4.5499999999999998,kHz,0.27396312216248125,0.08200969322298711
100,191889,1,10,22,fcl,0.46000000000000002,4.5999999999999996,kHz,0.26817088813817663,0.082458947471240315
100,191889,1,10,22,fcl,0.46500000000000002,4.6500000000000004,kHz,0.26268299027659703,0.08316424900384603
100,191889,1,10,22,fcl,0.46999999999999997,4.7000000000000002,kHz,0.25750102365808092,0.084125655015948181
100,191889,1,10,22,fcl,0.47499999999999998,4.75,kHz,0.25262523059029479,0.085338743513577037
100,191889,1,10,22,fcl,0.47999999999999998,4.7999999999999998,kHz,0.24805456306876139,0.086795022265101829
100,191889,1,10,22,fcl,0.48499999999999999,4.8499999999999996,kHz,0.24378677497870155,0.088482528395438853
100,191889,1,10,22,fcl,0.48999999999999999,4.9000000000000004,kHz,0.23981853641357231,0.090386545397390106
100,191889,1,10,22,fcl,0.495,4.9500000000000002,kHz,0.2361455617544313,0.092490361834747431
100,191889,1,10,22,fcl,0.5,5,kHz,0.23276274351052856,0.094776005660241358
100,191889,1,10,22,fsb,-0.5,-5,kHz,0.42528733938656282,0.13189353000908025
100,191889,1,10,22,fsb,-0.495,-4.9500000000000002,kHz,0.42308680544341137,0.12867322513793564
100,191889,1,10,22,fsb,-0.48999999999999999,-4.9000000000000004,kHz,0.42092634778227761,0.125515684697768
100,191889,1,10,22,fsb,-0.48499999999999999,-4.8499999999999996,kHz,0.4188106269546541,0.12243034330714959
100,191889,1,10,22,fsb,-0.47999999999999998,-4.7999999999999998,kHz,0.41674456087152778,0.1194264244763531
100,191889,1,10,22,fsb,-0.47499999999999998,-4.75,kHz,0.41473333269904566,0.11651283332222281
100,191889,1,10,22,fsb,-0.46999999999999997,-4.7000000000000002,kHz,0.41278239703510178,0.11369806794308421
100,191889,1,10,22,fsb,-0.46500000000000002,-4.6500000000000004,kHz,0.4108974838213314,0.11099015935781965
100,191889,1,10,22,fsb,-0.46000000000000002,-4.5999999999999996,kHz,0.40908459941114839,0.10839664897326493
100,191889,1,10,22,fsb,-0.45500000000000002,-4.5499999999999998,kHz,0.40735002420038147,0.1059246101000539
