score_mode,axis,x_u,x_physical,physical_unit,score
full_l1,fcl,0.495,4.9500000000000002,kHz,0.17405525665370281
full_l1,fcl,0.5,5,kHz,0.1692935054822291
full_l1,fsb,-0.5,-5,kHz,0.40589851263647891
full_l1,fsb,-0.495,-4.9500000000000002,kHz,0.40730124878257656
full_l1,fsb,-0.48999999999999999,-4.9000000000000004,kHz,0.40867728437489736
full_l1,fsb,-0.48499999999999999,-4.8499999999999996,kHz,0.41001042993973869
full_l1,fsb,-0.47999999999999998,-4.7999999999999998,kHz,0.41128323687894253
full_l1,fsb,-0.47499999999999998,-4.75,kHz,0.41247703404967773
full_l1,fsb,-0.46999999999999997,-4.7000000000000002,kHz,0.41357200219748491
full_l1,fsb,-0.46500000000000002,-4.6500000000000004,kHz,0.41454729288655479
full_l1,fsb,-0.46000000000000002,-4.5999999999999996,kHz,0.41538121439961995
full_l1,fsb,-0.45500000000000002,-4.5499999999999998,kHz,0.41605148819523796
full_l1,fsb,-0.45000000000000001,-4.5,kHz,0.41653558841652338
full_l1,fsb,-0.44500000000000001,-4.4500000000000002,kHz,0.41681116624535153
full_l1,fsb,-0.44,-4.4000000000000004,kHz,0.41685655994585757
full_l1,fsb,-0.435,-4.3499999999999996,kHz,0.41665137566417476
full_l1,fsb,-0.42999999999999999,-4.2999999999999998,kHz,0.41617712960078079
full_l1,fsb,-0.42499999999999999,-4.25,kHz,0.415417925962696
full_l1,fsb,-0.41999999999999998,-4.2000000000000002,kHz,0.41436115386603745
full_l1,fsb,-0.41499999999999998,-4.1500000000000004,kHz,0.41299815058001832
full_l1,fsb,-0.40999999999999998,-4.0999999999999996,kHz,0.41132482670989101
full_l1,fsb,-0.40500000000000003,-4.0500000000000007,kHz,0.40934218821895296
full_l1,fsb,-0.40000000000000002,-4,kHz,0.40705674531592262
full_l1,fsb,-0.39500000000000002,-3.9500000000000002,kHz,0.40448075752630064
full_l1,fsb,-0.39000000000000001,-3.8999999999999999,kHz,0.40163230745886036
full_l1,fsb,-0.38500000000000001,-3.8500000000000001,kHz,0.39853516815951373
full_l1,fsb,-0.38,-3.7999999999999998,kHz,0.39521846512722325
full_l1,fsb,-0.375,-3.75,kHz,0.39171613255694981
full_l1,fsb,-0.37,-3.7000000000000002,kHz,0.38806617281539268
full_l1,fsb,-0.36499999999999999,-3.6499999999999999,kHz,0.38430975207846529
full_l1,fsb,-0.35999999999999999,-3.6000000000000001,kHz,0.38049014992117169
full_l1,fsb,-0.35499999999999998,-3.5499999999999998,kHz,0.37665163439590399
full_l1,fsb,-0.34999999999999998,-3.5,kHz,0.37283828121783058
full_l1,fsb,-0.34499999999999997,-3.4499999999999997,kHz,0.36909282357716378
full_l1,fsb,-0.34000000000000002,-3.4000000000000004,kHz,0.36545557312036037
full_l1,fsb,-0.33500000000000002,-3.3500000000000001,kHz,0.3619634710094366
full_l1,fsb,-0.33000000000000002,-3.2999999999999998,kHz,0.35864932689235962
full_l1,fsb,-0.32500000000000001,-3.25,kHz,0.35554128302885923
full_l1,fsb,-0.32000000000000001,-3.2000000000000002,kHz,0.35266253580181828
full_l1,fsb,-0.315,-3.1499999999999999,kHz,0.35003133563495181
full_l1,fsb,-0.31,-3.1000000000000001,kHz,0.34766126679433773
full_l1,fsb,-0.30499999999999999,-3.0499999999999998,kHz,0.3455617936080071
full_l1,fsb,-0.29999999999999999,-3,kHz,0.34373904895929774
full_l1,fsb,-0.29499999999999998,-2.9500000000000002,kHz,0.34219681839253335
full_l1,fsb,-0.28999999999999998,-2.8999999999999999,kHz,0.34093767345235515
full_l1,fsb,-0.28499999999999998,-2.8499999999999996,kHz,0.33996418724739463
full_l1,fsb,-0.28000000000000003,-2.8000000000000003,kHz,0.33928017028721147
full_l1,fsb,-0.27500000000000002,-2.75,kHz,0.33889185830062951
full_l1,fsb,-0.27000000000000002,-2.7000000000000002,kHz,0.33880898290813311
full_l1,fsb,-0.26500000000000001,-2.6499999999999999,kHz,0.33904567692267551
full_l1,fsb,-0.26000000000000001,-2.6000000000000001,kHz,0.33962115803451254
full_l1,fsb,-0.255,-2.5499999999999998,kHz,0.34056016110931164
full_l1,fsb,-0.25,-2.5,kHz,0.34189309156174197
full_l1,fsb,-0.245,-2.4500000000000002,kHz,0.34365590608516761
full_l1,fsb,-0.23999999999999999,-2.3999999999999999,kHz,0.34588970785271145
full_l1,fsb,-0.23499999999999999,-2.3500000000000001,kHz,0.34864009975621246
full_l1,fsb,-0.23000000000000001,-2.2999999999999998,kHz,0.35195631477303424
full_l1,fsb,-0.22500000000000001,-2.25,kHz,0.3558901643333986
full_l1,fsb,-0.22,-2.2000000000000002,kHz,0.36049485857838026
full_l1,fsb,-0.215,-2.1499999999999999,kHz,0.36582374246728766
full_l1,fsb,-0.20999999999999999,-2.1000000000000001,kHz,0.37192899440453941
