axis,x_u,x_physical,physical_unit,score
fsb,0.44,4.4000000000000004,kHz,0.47517960212984089
fsb,0.44500000000000001,4.4500000000000002,kHz,0.47534463936343335
fsb,0.45000000000000001,4.5,kHz,0.47556241950463163
fsb,0.45500000000000002,4.5499999999999998,kHz,0.47583149271367964
fsb,0.46000000000000002,4.5999999999999996,kHz,0.47615046692896074
fsb,0.46500000000000002,4.6500000000000004,kHz,0.47651800266097027
fsb,0.46999999999999997,4.7000000000000002,kHz,0.47693280734932175
fsb,0.47499999999999998,4.75,kHz,0.47739363103163363
fsb,0.47999999999999998,4.7999999999999998,kHz,0.47789925886548945
fsb,0.48499999999999999,4.8499999999999996,kHz,0.47844850803454175
fsb,0.48999999999999999,4.9000000000000004,kHz,0.47904022224466369
fsb,0.495,4.9500000000000002,kHz,0.4796732680529841
fsb,0.5,5,kHz,0.48034652937971839
amp,-0.5,-0.09999999999999995,DeltaA_over_Aopt,0.97290351577671874
amp,-0.495,-0.098999999999999949,DeltaA_over_Aopt,0.97340688509265116
amp,-0.48999999999999999,-0.097999999999999948,DeltaA_over_Aopt,0.97390565770538229
amp,-0.48499999999999999,-0.096999999999999947,DeltaA_over_Aopt,0.97439982882610809
amp,-0.47999999999999998,-0.09599999999999996,DeltaA_over_Aopt,0.97488939374810968
amp,-0.47499999999999998,-0.094999999999999959,DeltaA_over_Aopt,0.97537434781315757
amp,-0.46999999999999997,-0.093999999999999959,DeltaA_over_Aopt,0.97585468639467499
amp,-0.46500000000000002,-0.092999999999999972,DeltaA_over_Aopt,0.97633040491328604
amp,-0.46000000000000002,-0.091999999999999971,DeltaA_over_Aopt,0.97680149881564926
amp,-0.45500000000000002,-0.090999999999999956,DeltaA_over_Aopt,0.97726796365001567
amp,-0.45000000000000001,-0.089999999999999955,DeltaA_over_Aopt,0.97772979491021383
amp,-0.44500000000000001,-0.088999999999999954,DeltaA_over_Aopt,0.97818698824367334
amp,-0.44,-0.087999999999999953,DeltaA_over_Aopt,0.97863953928530822
amp,-0.435,-0.086999999999999966,DeltaA_over_Aopt,0.9790874437245779
amp,-0.42999999999999999,-0.085999999999999965,DeltaA_over_Aopt,0.97953069730108899
amp,-0.42499999999999999,-0.084999999999999964,DeltaA_over_Aopt,0.97996929578528169
amp,-0.41999999999999998,-0.083999999999999964,DeltaA_over_Aopt,0.98040323500469606
